Extension:      Description:                              Used tool(s):
.mmip           MediaMonkey Installation Package          [unzip|7z]
.mo             GNU Gettext Machine Object File           [msgunfmt]
.mov            Apple QuickTime Movie                     [avconv|ffmpeg]
.mp3            MP3 Audio File                            [avconv|ffmpeg]
.mpk            ArcGIS Map Package                        [unzip|7z]
.mp4            MPEG-4 Video File                         [avconv|ffmpeg]
.mpeg           MPEG Movie                                [avconv|ffmpeg]
.mpg            MPEG Movie                                [avconv|ffmpeg]
.mpz            Red Eclipse Map File                      [g(un)zip]
.mpzip          Multisim Pack File                        [unzip|7z]
.mscz           MuseScore Compressed Score File           [unzip|7z]
.msg            Outlook Message File                      [7z]
.msi            Windows Installer Package                 [7z]
.msp            Windows Installer Patch                   [7z]
.msu            Windows Vista Update Package              [7z]
.mxl            Compressed MusicXML File                  [unzip|7z]
.mzp            MAXScript Zip Package                     [unzip|7z]
.mzz            Microsoft .NET Download Package           [7z]
.nbf            Nokia Phone Side Backup File              [unzip/7z]
.nbm            NetBeans Module                           [unzip|7z]
.ndr            Nokia PC Suite Install Archive            [7z]
.nex            Opera's Navigator Extension Format        [7z]
.nfl            Nokia Flash Lite Package                  [unzip|7z]
.ngr            Nokia PC Suite Install Archive            [7z]
.nif            Netscape Package                          [g(un)zip+tar]
.nlr            Nokia PC Suite Install Archive            [7z]
.nrg            Nero CD/DVD Image File                    [poweriso]
.nsis           Nullsoft Scriptable Install System        [7z]
.ntfs           NTFS Partition File                       [{cryptsetup|{gdisk|fdisk}}+mount]
.nz             NanoZip Compressed Archive                [nz]
.oar            OpenSimulator Archive                     [g(un)zip+tar]
.obt            Openbox Theme                             [g(un)zip+tar]
.odb            OpenDocument Database                     [unzip|7z]
.odc            OpenDocument Chart File                   [unzip|7z]
.odf            OpenDocument Formula                      [unzip|7z]
.odg            OpenDocument Graphic File                 [unzip|7z]
.odi            OpenDocument Image                        [unzip|7z]
.odm            OpenDocument Master Document              [unzip|7z]
.odp            OpenDocument Presentation                 [unzip|7z]
.ods            OpenDocument Spreadsheet                  [unzip|7z]
.odt            OpenDocument Text Document                [unzip|7z]
.oex            Opera Extension                           [unzip|7z]
.ogg            Ogg Video File (until 2007)               [avconv|ffmpeg]
.ogv            Ogg Video File                            [avconv|ffmpeg]
.ogz            Cube 2 Map File                           [g(un)zip]
.onepkg         Microsoft OneNote Package File            [7z]
.orb            OrbitalApps.com Portable App              [mount|{tar+{g(un)zip|b(un)zip2|(un)xz|(un)compress}}]
